Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
PAYLOAD F,27060,"[7779.81526686189, 7793.08337650604]",TITAN 3D DEB,6823,"[7780.5483276193845, 7861.554083375203]",[-3624.02900485  -171.13126336  6883.04108275],0,1402.5523450475266,True,69.3357228095591,71.62341435185185,0.013961914676218512,82.5381,95.793
PAYLOAD E,27059,"[7792.031052715804, 7793.480505290698]",SL-14 R/B,18340,"[7785.760003591918, 7848.300937574867]",[ 2598.14020681 -1495.94103874  7192.64273806],0,1414.313300321598,True,10.051052707226246,68.06549189814815,0.014691732508102346,82.5395,82.56920000000001
PAYLOAD D,27058,"[7787.189117531233, 7793.691018812129]",COSMOS 2092,20737,"[7783.019836751101, 7787.898205373699]",[  793.27083414 -1188.63281025  7655.55218   ],0,1409.6486772431108,True,57.212301396388504,79.20274305555556,0.012625825336611956,82.53330000000001,82.5667
PAYLOAD C,27057,"[7790.4957353512655, 7794.619556857582]",COSMOS 2216,22187,"[7786.1791526957195, 7791.050152299392]",[ 1000.37205045 -1225.20201119  7628.24732833],0,1412.3714243418835,True,34.98050698071533,79.23504050925926,0.012620678850831683,82.5416,82.5953
PAYLOAD C,27057,"[7790.4957353512655, 7794.619556857582]",COSMOS 1691 DEB,16271,"[7782.14420989439, 7790.991308182209]",[   23.0819326  -1036.70456388  7721.23375292],0,1412.4175242647434,True,56.37558595375077,68.6175462962963,0.014573531902203505,82.5416,82.6082
PAYLOAD C,27057,"[7790.4957353512655, 7794.619556857582]",DELTA 1 R/B,2758,"[7731.594750945181, 7794.913403851257]",[-3688.68468904  -158.5707138   6860.67266655],0,1412.9071433774334,True,25.71802034798739,27.969968171296298,0.03575263274794259,82.5416,102.00520000000002
PAYLOAD B,27056,"[7792.227848229912, 7801.0333628358]",GLOBALSTAR M043,25874,"[7790.60162728281, 7793.604703842819]",[ 5017.23861561  -180.74648588 -5960.48495574],0,1414.9839105042756,True,75.09135902531109,79.29717013888889,0.012610790501710229,82.53550000000001,52.0061
PAYLOAD B,27056,"[7792.227848229912, 7801.0333628358]",DELTA 1 DEB,7128,"[7789.634084997634, 7825.4144071124565]",[-1010.838069    1215.73446717 -7634.29635329],0,1418.1624238412078,True,27.12726253928445,37.90404513888889,0.026382408429912338,82.53550000000001,101.6985
SL-16 DEB,27007,"[7372.9726624518935, 7392.735085702024]",DIAMANT DEB,2685,"[6930.275661016808, 7715.828230923354]",[ 3550.19168237  6362.85356101 -1130.06469563],0,995.248425757638,True,39.86687192613113,65.46989583333334,0.015274195678357258,99.6452,38.9486
REFLECTOR,27005,"[7361.611527172397, 7389.5960430538735]",SL-8 R/B,8646,"[7358.646572772348, 7366.114971827769]",[ 1639.27374516   526.03322105 -7158.80842763],0,984.7746159840844,True,24.954182628589418,27.06870659722222,0.03694302852662416,99.64790000000002,82.9676
REFLECTOR,27005,"[7361.611527172397, 7389.5960430538735]",COSMOS 627,7008,"[7342.843623612863, 7389.218682546421]",[ 2811.70758317  3242.26297062 -5981.25033898],0,983.4745301965568,True,34.87191484671479,37.42923611111111,0.026717082791415655,99.64790000000002,82.9511
BADR-B,27003,"[7361.020892446117, 7389.33863266242]",COSMOS 1513,14546,"[7334.232276453783, 7388.463325704332]",[-868.32112819  938.67293435 7276.94800881],0,1010.3040251586117,True,3.816994903839667,51.72522569444445,0.01933292676009348,99.645,82.9393
KOMPASS,27002,"[7362.5445371101905, 7389.799492705275]",SL-8 R/B,8646,"[7358.555775159433, 7366.203815290712]",[ 1744.79381367   480.4870594  -7137.20888797],0,984.9414307240268,True,50.859456642816816,51.88160300925926,0.01927465502215749,99.6491,82.96789999999999
COSMOS 1823 DEB,26982,"[7855.420213273523, 7897.652626249]",COSMOS 1823 DEB,18800,"[7851.455851437, 7926.473594781994]",[ -829.85164498 -2108.81511065  7522.61244159],0,1478.4177710137328,True,38.5074830462212,68.19987268518518,0.014662783970522373,73.60650000000001,73.60080000000002
COSMOS 1823 DEB,26982,"[7855.420213273523, 7897.652626249]",COSMOS 1327,12982,"[7858.292689309043, 7978.95509646407]",[ 1254.78757296 -3328.06264167  7008.8240448 ],0,1481.5135832745518,True,47.93226929169689,50.5661400462963,0.01977607938997204,73.60650000000001,73.98
SL-16 DEB,26979,"[7133.057342539011, 7314.398924106695]",METEOR 2-19,20670,"[7311.931166527057, 7335.669067466268]",[-7285.74441334   176.39296575   618.59916712],0,935.9487982672854,True,1.7652993039048703,69.23441550925926,0.014443683717764066,71.3239,82.5426
