Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
TBA - TO BE ASSIGNED,36353,"[7276.9919073175, 7284.231747718784]",FENGYUN 1C DEB,32189,"[7228.179373451247, 7295.683382769611]",[-2041.20416241  1600.13112471 -6802.68387177],0,902.2092766602736,True,18.30070394969466,18.533132079175214,0.05395742045801593,82.53120000000001,98.9349
TBA - TO BE ASSIGNED,36352,"[7221.1921566097235, 7254.564566158394]",THOR ABLESTAR DEB,152,"[7127.195109181216, 7361.747914424557]",[ 2793.04410022 -4458.24492252 -4951.90206813],0,846.7074431255742,True,14.83334481978266,51.989798750827084,0.019234542622346494,82.5321,66.5942
TBA - TO BE ASSIGNED,36347,"[7298.309691686986, 7321.055962708661]",SL-14 DEB,17271,"[7258.184361720372, 7299.380815415148]",[-6.52767432e+00  1.00667482e+03 -7.22964769e+03],0,921.2631522214533,True,58.123514185155834,67.7383579008601,0.014762684407903291,82.54,82.4087
TBA - TO BE ASSIGNED,36340,"[7215.156895342794, 7267.194881748238]",COSMOS 1275 DEB,15766,"[7215.116678513148, 7227.898747164874]",[  925.64454466   259.05952346 -7161.90921321],0,847.9873580478215,True,33.524928657348724,52.096307981045804,0.019195218217072693,82.5384,82.94590000000001
TBA - TO BE ASSIGNED,36328,"[7271.182746231977, 7286.828240639567]",FENGYUN 1C DEB,30656,"[7207.847927952078, 7288.35111974355]",[ -265.91307788  1125.83536143 -7191.78490684],0,906.0915227958903,True,47.098309477805415,67.02624706396517,0.014919528450484028,82.5322,99.1276
TBA - TO BE ASSIGNED,36328,"[7271.182746231977, 7286.828240639567]",SL-16 DEB,22496,"[7217.221364823637, 7347.576303959243]",[ 5412.66525027 -2766.0010328   3990.30727169],0,893.0567773268422,True,10.87711216686367,71.53281436922643,0.013979598158103537,82.5322,71.2141
TBA - TO BE ASSIGNED,36323,"[7268.527933563109, 7278.729925499671]",IRS 1A,18960,"[7270.531701091438, 7292.555457801831]",[-3127.88830905   402.1868049   6556.77611761],0,897.6277403129343,True,1.1825245281819539,43.87249414118841,0.022793324600644923,82.545,99.3128
TBA - TO BE ASSIGNED,36323,"[7268.527933563109, 7278.729925499671]",COSMOS 1275 DEB,13619,"[7263.149506699578, 7313.96094058568]",[ 2926.26636496  -302.8720314  -6649.96454327],0,893.5061934492333,True,15.67813963630537,69.81014132889426,0.01432456633039507,82.545,83.0407
TBA - TO BE ASSIGNED,36305,"[7206.351849521866, 7230.791045013736]",FENGYUN 1C DEB,31186,"[7223.2803238447195, 7266.940809140517]",[2308.34801016 1009.10938485 6770.08693294],0,845.4943143908995,True,62.56756839161419,64.3565133790937,0.015538442769723621,81.2265,99.32540000000002
CZ-2D DEB,36292,"[7147.360386132435, 7406.754000613084]",COSMOS 2251 DEB,35035,"[6954.931218150037, 7155.585589254695]",[-1776.83596122 -1037.54659057  6845.46604849],0,769.873519142423,True,0.1853646366347351,36.10956876282023,0.027693490514061125,98.5396,74.0601
CZ-2D DEB,36292,"[7147.360386132435, 7406.754000613084]",COSMOS 2251 DEB,33821,"[6931.989414930224, 7160.315761865706]",[-1811.80188007 -1036.39554745  6836.53826381],0,769.9394696473664,True,7.550342054488137,56.273723992751535,0.017770282985515713,98.5396,74.0616
CZ-2D DEB,36292,"[7147.360386132435, 7406.754000613084]",FENGYUN 1C DEB,30575,"[7149.240239109763, 7236.754561278968]",[  717.69552187 -1052.7583945   7036.82725261],0,773.1093866311094,True,47.09367586164113,69.14446137355874,0.014462474363599657,98.5396,99.20230000000001
CZ-2D DEB,36292,"[7147.360386132435, 7406.754000613084]",SL-8 R/B,6061,"[7120.718980655961, 7150.555935122378]",[-2583.1775408  -1003.78007029  6591.48517283],0,772.251620234536,True,4.69142350727394,45.47660541218548,0.021989328159749792,98.5396,74.05440000000002
FENGYUN 1C DEB,36280,"[7217.118830576632, 7335.221257025585]",FENGYUN 1C DEB,35090,"[7224.838020625088, 7335.098967442022]",[  192.78025181  1208.08212233 -7175.47336751],0,900.8769914399081,True,2.6047099119825123,71.49102130992858,0.013987770515472007,99.2098,98.8702
FENGYUN 1C DEB,36280,"[7217.118830576632, 7335.221257025585]",DELTA 1 DEB,21435,"[7216.275213800618, 7415.129167607903]",[4183.71802634 -309.68950902 5897.62066702],0,859.3579843181742,True,14.821023630165227,61.839733433088234,0.01617083296586359,99.2098,100.35
FENGYUN 1C DEB,36279,"[7178.87751526184, 7272.003326671512]",COSMOS 2251 DEB,34055,"[7052.434082052523, 7228.414118255276]",[ -893.60305578 -1889.28722022  6882.25883201],0,814.4577510300987,True,28.26426225532543,67.1366922657214,0.014894984638833321,99.1153,74.1191
FENGYUN 1C DEB,36279,"[7178.87751526184, 7272.003326671512]",FENGYUN 1C DEB,31033,"[7074.352888157172, 7308.881594663703]",[ -974.12819317   739.54340273 -7162.89036752],0,888.4198599187212,True,3.5246467569058453,70.10796842500517,0.014263713846874693,99.1153,98.9393
FENGYUN 1C DEB,36279,"[7178.87751526184, 7272.003326671512]",FENGYUN 1C DEB,30064,"[7180.274297003891, 7279.754960285263]",[ -311.87639539  1166.21183078 -7162.91914588],0,885.7963429410274,True,0.48139090747458346,70.74467045913741,0.01413534042225282,99.1153,98.8882
FENGYUN 1C DEB,36278,"[7183.646298996019, 7280.939442066126]",FENGYUN 1C DEB,30747,"[6858.305655435501, 7190.9498787176435]",[2312.77751185  935.97761037 6736.87547213],0,805.9067800346838,True,43.76997836526007,69.78265336169632,0.014330208896139507,99.2656,99.4568
FENGYUN 1C DEB,36278,"[7183.646298996019, 7280.939442066126]",THORAD AGENA D DEB,4214,"[7096.060120036356, 7193.256048615525]",[ -653.29847907 -2381.52756702  6752.11656005],0,811.407526304436,True,40.727770237742,61.422904024965185,0.016280571813953187,99.2656,70.0485
FENGYUN 1C DEB,36277,"[6781.482145567055, 7193.274914376713]",CZ-4 DEB,26265,"[7078.083302731243, 7235.562028667288]",[-5420.01299263  2220.74522023  4139.5921065 ],0,794.3432531348399,True,47.66895389940445,64.78805395727537,0.015434944236161999,99.1746,98.3209
FENGYUN 1C DEB,36277,"[6781.482145567055, 7193.274914376713]",SL-14 R/B,13553,"[6979.862234264798, 7012.580763727002]",[1280.5981047   784.70244803 6825.72878045],0,610.8731460790032,True,18.256709394449455,35.52242210741577,0.028151233521636378,99.1746,82.56710000000001
TBA - TO BE ASSIGNED,36272,"[7101.99613646091, 7366.0112284574125]",FENGYUN 1C DEB,30974,"[7108.281996639893, 7237.579814558039]",[ -751.11507315 -2033.59358828  6769.84851516],0,730.3456548029535,True,1.2941112605939944,44.294045459892075,0.022576398015067115,99.2269,98.9881
TBA - TO BE ASSIGNED,36271,"[7197.367041780036, 7396.695669097748]",COSMOS 2251 DEB,33798,"[7062.817647690153, 7203.311918268671]",[-2281.30003588  -340.37561933  6817.77103138],0,819.2366357279734,True,59.29413976871819,64.18803472312008,0.015579227566532848,99.0526,74.0309
TBA - TO BE ASSIGNED,36271,"[7197.367041780036, 7396.695669097748]",COSMOS 1375 DEB,16206,"[7358.693547027217, 7374.723504779583]",[-2299.30465514  1956.88560679 -6726.7265866 ],0,995.1291518528578,True,13.72963893846422,71.00891089615857,0.014082739579858812,99.0526,65.82920000000001
FENGYUN 1C DEB,36261,"[7205.5616645058535, 7754.762650263183]",COSMOS 1275 DEB,14405,"[7301.059464223196, 7407.650543910138]",[  -61.80703246 -1769.34115505 -7159.16467572],0,996.6868681509213,True,44.179814470002555,60.73252943076111,0.01646564056153898,101.3736,83.2669
FENGYUN 1C DEB,36260,"[7214.185311971253, 7236.929922238375]",FENGYUN 1C DEB,29828,"[7228.7211225477995, 7323.023704902087]",[  372.28682368 -1115.6889223   7137.23706391],0,855.3623023378896,True,33.5257489355136,47.82456077333106,0.02090975816253897,98.9079,99.29100000000001
FENGYUN 1C DEB,36260,"[7214.185311971253, 7236.929922238375]",DELTA 1 R/B,13778,"[7224.508621211387, 7255.310091577233]",[ 5258.56821654   809.15988183 -4890.42808766],0,848.4504576407726,True,30.758951249929627,47.612321598301484,0.0210029665941699,98.9079,100.0898
FENGYUN 1C DEB,36258,"[6924.064285328605, 7243.923613735456]",COSMOS 2251 DEB,35976,"[7127.431722646703, 7226.154251619107]",[ 2100.961068   -3393.58275691  5958.83213925],0,793.9004930034853,True,22.1115200031543,39.07750076117836,0.02559017287496166,99.0379,74.0468
FENGYUN 1C DEB,36258,"[6924.064285328605, 7243.923613735456]",COSMOS 2251 DEB,34031,"[7129.046268334412, 7179.895956318161]",[ 2229.32674227 -4039.28918523  5470.18024341],0,777.8833144669779,True,21.492142306231255,60.57356005511303,0.01650885302250928,99.0379,74.0207
FENGYUN 1C DEB,36256,"[6988.826193345155, 7218.292470443335]",SJ-11-01,36088,"[7063.122248910948, 7080.489189396045]",[-1137.12897982    25.4534066  -6988.34938788],0,702.1693040915679,True,6.531687660718404,30.688189746131894,0.03258582563104901,98.9859,98.2695
TBA - TO BE ASSIGNED,36250,"[7107.012689756938, 7226.852402245132]",COSMOS 2251 DEB,35831,"[7147.938037219939, 7221.9010359132635]",[ -245.40906497 -2282.8861862   6787.26893997],0,786.9739280834028,True,13.416573848787722,37.24984122533475,0.026845752011417156,99.0928,74.0188
TBA - TO BE ASSIGNED,36248,"[7192.71516842965, 7536.41952653669]",FENGYUN 1C DEB,31424,"[7181.953753824946, 7323.599026166281]",[-1469.93256049   296.78149431  7076.35720318],0,855.3692213802378,True,56.46875435400173,72.14259383675952,0.013861436729912257,98.1463,98.57169999999999
TBA - TO BE ASSIGNED,36246,"[7149.14616738309, 7346.579399172128]",SL-14 DEB,27639,"[7320.8799525294235, 7424.468977835018]",[-1057.98593232 -1114.25861314  7178.09467976],0,962.5679880435473,True,21.221732698922548,56.21971879082034,0.0177873532900574,98.9884,82.5079
TBA - TO BE ASSIGNED,36246,"[7149.14616738309, 7346.579399172128]",COSMOS 886 DEB *,13943,"[7183.531617848145, 7318.105358828001]",[-4184.63875945  -855.05855778  5939.16642674],0,937.3277513904986,True,47.79812259727091,71.07423361671344,0.014069796452435406,98.9884,65.5823
TBA - TO BE ASSIGNED,36243,"[6921.414384227419, 7233.785677100785]",COSMOS 2251 DEB,34793,"[7118.4375243028235, 7199.138541799409]",[ 4090.38321513 -4467.48003253  3801.10226584],0,772.9462132674635,True,55.6297241768584,64.67522650875557,0.015461870858150338,99.1983,74.00240000000001
