Satellite 1,NORAD ID 1,Satellite 2,NORAD ID 2,"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days]
VANGUARD 2,00011,STARLINK-30842,58357,[5278.12736902 2580.82650831 3693.40235665],0,561.7777311444061,True,31.983937509617384,0.3186055195468351,3.138677576654474
VANGUARD 3,00020,SHIJIAN 6 03B (SJ-6 03B),33409,[  289.89041634 -5813.70915375 -3764.60382402],0,554.2069018200764,False,,0.2926473702157234,3.417081791177059
EXPLORER 7,00022,STARLINK-5034,53888,[-5036.79441102  2340.8647933  -4126.32402631],0,541.2120858825556,False,,72.46516363292683,0.0137997342428634
EXPLORER 7,00022,STARLINK-5024,53901,[-5036.54513526  2353.77482311 -4119.01392158],0,541.0547406119695,False,,72.3940178304095,0.013813296042534949
EXPLORER 7,00022,STARLINK-6296,56773,[-4699.15045078  -134.40366614 -5114.4206022 ],0,568.7530113533239,False,,8.963753945728406,0.11156040271236368
EXPLORER 7,00022,GREGOIRE,56946,[4199.08898368 1378.791453   5256.80980627],0,489.8572716019762,False,,7.630699632920108,0.13104958235884867
TIROS 1,00029,KINEIS-1B,60079,[  776.06237593 -5570.37598085  4182.52411499],0,630.9135642961583,True,36.64765874720157,40.40080764607578,0.02475198042475599
SOLRAD 1 (GREB),00046,VRSS-1,38782,[ -872.89536716 -2737.18044746  6389.37281774],0,627.5826401549893,False,,3.8892531872591927,0.2571187710987551
SOLRAD 1 (GREB),00046,LQSAT,40958,[ -101.45545797 -3191.57427731  6251.61217219],0,641.9070028712849,False,,4.356099973242051,0.2295631427521496
EXPLORER 11,00107,CARTOSAT-1,28649,[ 4329.34943956 -5153.20082157 -1849.20355553],0,601.8495017463474,False,,1.367190652354673,0.7314268849613101
EXPLORER 11,00107,ST5-C,28982,[3990.49047735 4752.77782132 3203.22010516],0,605.804859152825,False,,1.1020649130625393,0.907387566873071
EXPLORER 11,00107,MINXSS-2,43758,[ 5934.5400198  -3443.5462057   -665.10686193],0,515.4130048367942,False,,1.0189932960748251,0.9813607251902563
EXPLORER 11,00107,STARLINK-3219,49724,[5293.25938808 3473.41428645 2786.8879659 ],0,539.3655599027261,False,,1.0728759570019615,0.9320742006320977
TIROS 3,00162,OV2-1,01641,[-5127.1564201  -3113.67314567 -3790.84525998],0,717.9989571126098,False,,11.698386581208625,0.08548187333852704
TIROS 3,00162,ERS 1,21574,[  186.87575477 -4781.6935364  -5269.28839189],0,739.9291778386805,False,,20.337377214445695,0.0491705488596483
TIROS 5,00309,STARLINK-6175,56882,[-4913.55638379  1597.26989393  4633.89749689],0,562.2675353636159,False,,2.3423789563211104,0.42691640364229466
TIROS 5,00309,STARLINK-6169,56889,[-4912.56424094  1598.05379602  4634.67045618],0,562.2617813566567,False,,2.3429225725685057,0.42681734842979346
TIROS 5,00309,STARLINK-30218,57604,[-4914.50803189  1596.51775666  4633.15573033],0,562.2730612246269,False,,2.341761459452371,0.4270289768257838
TIROS 5,00309,STARLINK-30255,57606,[-4906.49807138  1602.84141233  4639.3882673 ],0,562.2267551047007,False,,2.3422091768217825,0.42694734949204305
TIROS 5,00309,STARLINK-30244,57614,[-4906.13957835  1603.12406057  4639.66663459],0,562.2246934762916,False,,2.342753101887369,0.4268482236537772
TIROS 5,00309,STARLINK-30075,57616,[-4917.16345929  1594.41783881  4631.08410008],0,562.2885150495795,False,,2.3422929318831502,0.42693208282707096
TIROS 5,00309,STARLINK-30148,57617,[-4916.9684193   1594.57213677  4631.23635293],0,562.2873782299694,False,,2.3424367046268704,0.42690587883325165
TIROS 5,00309,STARLINK-30294,57651,[-4907.59795865  1601.9740244   4638.53390539],0,562.2330861459568,False,,2.342288532110924,0.4269328847794755
TIROS 5,00309,STARLINK-30613,58077,[-4897.53464773  1609.89893822  4646.33356068],0,562.1754858273453,False,,2.342277539010509,0.4269348885198499
TIROS 5,00309,STARLINK-30610,58082,[-4891.85396646  1614.36146985  4650.71937744],0,562.1432919063473,False,,2.3422270067113753,0.4269440994124899
TIROS 5,00309,STARLINK-30609,58085,[-4890.8080179   1615.18226306  4651.5255748 ],0,562.1373894085527,False,,2.3423392874704208,0.4269236337148822
TIROS 5,00309,STARLINK-30583,58086,[-4890.44813662  1615.46461266  4651.80286857],0,562.1353603332827,False,,2.3423633201878054,0.42691925346569304
TIROS 5,00309,STARLINK-30591,58088,[-4890.0264949   1615.79537678  4652.12768721],0,562.1329842180494,False,,2.3422897379943968,0.42693266498117244
TIROS 5,00309,STARLINK-30615,58092,[-4888.89954609  1616.67921717  4652.99552024],0,562.1266396510182,False,,2.342194242056907,0.4269500718786685
TIROS 5,00309,STARLINK-30570,58095,[-4888.42357491  1617.05241704  4653.36190842],0,562.1239627202485,False,,2.3430766306487003,0.4267892850449119
TIROS 5,00309,STARLINK-30919,58411,[-4828.49908776  1663.60017458  4698.81374499],0,561.7996794934297,False,,2.342246198844335,0.42694060107489995
TIROS 5,00309,STARLINK-30908,58424,[-4828.8981967   1663.29299461  4698.51540837],0,561.8017567289999,False,,2.342384780924253,0.4269153420666532
ALOUETTE 1 (S-27),00424,COSMOS 1241,12149,[ 2344.49525407 -2020.45655961  6683.60815029],0,987.4273882994394,False,,40.88183037426958,0.02446074431709851
TRANSIT 5B-2,00704,HJS-4C,58693,[-1302.31602937 -5072.59955633  5345.36210542],0,1105.327424166283,False,,15.119649341050865,0.06613910001767917
TIROS 8,00716,ENMAP,52159,[ 3945.33052707 -1576.86796017  5587.91220973],0,641.751305797924,False,,24.373207482861243,0.04102865823889532
SECOR 1B,00729,COSMOS 2414,28521,[-2217.94608791  1659.80376957 -6742.06949544],0,911.0146442216574,False,,14.215421520833713,0.07034613771631244
OPS 4412 (TRANSIT 9),00801,OPS 6026 (DMSP 4A F1),02418,[ -961.65156747   376.96855412 -7107.58256202],0,804.2426096517102,False,,3.7185761981126024,0.2689201314491173
OPS 4467 B,00813,XSAT,37389,[ 1075.53457222   895.13610981 -7054.8524651 ],0,814.286602703196,False,,72.07073533683685,0.01387525734719234
EXPLORER 20,00870,METEOR 1-26,09481,[1345.11080893 -117.06324919 7122.98816643],0,871.8267090795998,False,,5.356466229115647,0.18669024637257914
CALSPHERE 1,00900,COSMOS 2142,21230,[ -532.12452474  -786.12169176 -7309.54894962],0,992.9327544719263,False,,47.667087077494756,0.020978835949724602
EXPLORER 25 (INJUN-4),00932,STARLINK-5599,55766,[ 3537.04053813 -1512.54599284 -5783.91795656],0,568.3773347748393,True,83.92491157840313,0.4303161522897785,2.323872796033442
EXPLORER 25 (INJUN-4),00932,STARLINK-5591,55771,[ 3534.32733445 -1510.14845372 -5786.02216457],0,568.2270728964559,False,,0.43030867832456127,2.323913159022435
OPS 4988 (GREB 6),01271,OPS 1509 (TRANSIT 10),01864,[ 1310.44686083 -2691.97106196 -6632.25099578],0,898.7253929630106,False,,5.7345044771834575,0.17438298356533102
PORCUPINE 1,01272,NINGXIA-1 2,44780,[ 5664.14349789 -1522.83049801 -4299.36982621],0,894.2840423706784,False,,15.460071835575159,0.06468275248882743
