Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days],Inclination of Sat 1,Inclination of Sat 2
TBA - TO BE ASSIGNED,89496,"[6945.581238854589, 7080.081736523272]",DMSP 5D-2 F11 DEB,29068,"[7038.280866831775, 7110.0368899990945]",[ 2271.17560113 -4457.10418321  4963.71216466],0,669.02234009926,True,58.30462482955189,62.57186204655581,0.0159816244441625,98.9028,98.8551
TBA - TO BE ASSIGNED,89493,"[7181.731732980838, 7316.239561257392]",FENGYUN 1C DEB,31310,"[7164.13646857054, 7325.791905482828]",[ 2564.80834706  -242.85200227 -6740.85577103],0,838.2579086763917,True,32.794124891936214,71.09075085364505,0.01406652747357678,99.1667,98.8845
TBA - TO BE ASSIGNED,89493,"[7181.731732980838, 7316.239561257392]",SURCAL 159,2872,"[7267.016833567196, 7281.035336638405]",[-2548.78580498   219.25093527  6816.80337906],0,902.8786132947325,True,29.108745690197086,68.88693757718205,0.014516540220409473,99.1667,69.9731
TBA - TO BE ASSIGNED,89492,"[7269.652869724971, 7313.336213523843]",THOR ABLESTAR DEB,150,"[7290.896221350673, 7381.073079064888]",[ 2894.89498694 -4098.67467293  5314.45980786],0,930.9692455868399,True,57.38013946030532,71.07154040713262,0.014070329618177823,82.5271,66.248
TBA - TO BE ASSIGNED,89490,"[7126.833552389606, 7316.488818440983]",DELTA 1 DEB,10208,"[6893.906371686961, 7572.739250880307]",[-3616.89432429  5344.70339565  3366.2268409 ],0,900.5484640788418,True,45.11671341946313,58.45994662832323,0.017105728925101524,98.3555,28.934100000000004
TBA - TO BE ASSIGNED,89483,"[6863.312856664626, 7245.560325116673]",SL-8 R/B,21419,"[7124.730627754267, 7183.79766339295]",[ 2470.61391155  2914.72355072 -6026.42424649],0,757.5014210317204,True,20.396850726309555,58.898134353937024,0.01697846648232849,99.4658,74.0407
TBA - TO BE ASSIGNED,89483,"[6863.312856664626, 7245.560325116673]",SL-8 DEB,19831,"[7080.568837498538, 7102.395000548909]",[ 1750.58301741  1078.19355657 -6775.77625891],0,702.6953068014245,True,29.402317088606807,43.61055371050493,0.022930229380672126,99.4658,74.0673
TBA - TO BE ASSIGNED,89438,"[6940.432760436707, 6955.319279597196]",OBJECT E,44314,"[6933.109133335544, 6955.060774692173]",[-3513.13058843 -3681.75122614  4740.88191712],0,576.9575338381301,True,5.60057112530939,66.70760242114619,0.014990795107380472,86.36560000000001,44.9857
TBA - TO BE ASSIGNED,89391,"[6862.409541282697, 7152.308181799979]",FENGYUN 1C DEB,31955,"[7099.72876301348, 7193.2793597787795]",[-2437.55695847  1745.57080582 -6443.24561758],0,728.4877580974362,True,53.72127550975165,62.76889658176804,0.015931457369133706,97.3951,99.30730000000001
TBA - TO BE ASSIGNED,89389,"[6974.256533156478, 7091.113030024342]",ORBCOMM FM 113,41185,"[7087.607351159133, 7091.024401411502]",[ 2679.91427403 -4036.90859651  5177.33273087],0,712.9380763809359,True,25.282244814078872,45.44698606228491,0.02200365935442901,74.0485,47.0012
TBA - TO BE ASSIGNED,89341,"[6811.569584988244, 6822.392223872117]",FLOCK 2K 06,42897,"[6807.848801269926, 6819.822072899971]",[ 1383.54189927 -1109.64152739 -6578.02675731],0,434.78664012614536,True,53.87683479089134,64.83139366686142,0.015424625994291254,98.18450000000001,96.8724
