Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days]
VANGUARD 2,11,"[6933.294117076832, 9292.532561274444]",STARLINK-30842,58357,"[6938.2305583440075, 6940.025016789873]",[5278.11661109 2580.82124805 3693.39482873],0,561.6265864299503,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
VANGUARD 3,20,"[6887.386830897937, 9607.117878340629]",SHIJIAN 6 03B (SJ-6 03B),33409,"[6930.702558534596, 6954.149908896347]",[  289.88982549 -5813.6973042  -3764.59615097],0,554.0557725365497,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
EXPLORER 7,22,"[6840.366109422256, 6987.372951702796]",STARLINK-5034,53888,"[6916.903603142928, 6919.265437198113]",[-5036.78414498  2340.86002213 -4126.315616  ],0,541.0609830851745,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
EXPLORER 7,22,"[6840.366109422256, 6987.372951702796]",STARLINK-5024,53901,"[6916.958941766405, 6919.218389524604]",[-5036.53486973  2353.77002563 -4119.00552617],0,540.9036381352907,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
EXPLORER 7,22,"[6840.366109422256, 6987.372951702796]",STARLINK-6296,56773,"[6946.307771397581, 6949.951370544599]",[-4699.14087294  -134.4033922  -5114.41017794],0,568.6018524217925,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
EXPLORER 7,22,"[6840.366109422256, 6987.372951702796]",GREGOIRE,56946,"[6867.669366606345, 6880.649154121764]",[4199.08042506 1378.78864274 5256.7990918 ],0,489.70627347641675,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
EXPLORER 7,22,"[6840.366109422256, 6987.372951702796]",ALISIO-1,58562,"[6911.972445963122, 6921.05521192329]",[ 5005.13242119 -2898.14318377  3788.35109807],0,535.7756773151923,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
TIROS 1,29,"[7002.583465872548, 7034.251970300098]",KINEIS-1B,60079,"[7008.801844624672, 7012.36883044441]",[  776.06079416 -5570.36462726  4182.51559013],0,630.7622786684542,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
SOLRAD 1 (GREB),46,"[6955.222661063281, 7231.963590969943]",VRSS-1,38782,"[6997.360229262172, 7024.906973181372]",[ -872.89358802 -2737.17486851  6389.35979487],0,627.431361316404,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
SOLRAD 1 (GREB),46,"[6955.222661063281, 7231.963590969943]",LQSAT,40958,"[7007.084312790381, 7032.628165673699]",[ -101.45525119 -3191.56777222  6251.5994301 ],0,641.755694836661,False,,"[[           nan 7.26395747e+01 1.89384754e+01 ...            nan
             nan 8.08883329e+01]
 [           nan            nan 8.29057313e+01 ...            nan
             nan 2.31204329e+01]
 [           nan            nan            nan ...            nan
             nan 6.62184501e-02]
 ...
 [           nan            nan            nan ...            nan
  6.33663335e-02            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]","[[           nan 1.37666004e-02 5.28025608e-02 ...            nan
             nan 1.23627223e-02]
 [           nan            nan 1.20618923e-02 ...            nan
             nan 4.32517854e-02]
 [           nan            nan            nan ...            nan
             nan 1.51015314e+01]
 ...
 [           nan            nan            nan ...            nan
  1.57812508e+01            nan]
 [           nan            nan            nan ...            nan
             nan            nan]
 [           nan            nan            nan ...            nan
             nan            nan]]"
