Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days]
TIROS 5,309,"[6937.457022958638, 7210.181041935603]",STARLINK-6169,56889,"[6938.116912039698, 6940.208375660555]",[-4912.55422811  1598.05053886  4634.66100975],0,562.1106356556065,True,34.83693935535416,49.20424853187507,0.020323448276060727
TIROS 5,309,"[6937.457022958638, 7210.181041935603]",STARLINK-30244,57614,"[6938.118506369376, 6940.187761833964]",[-4906.12957861  1603.12079307  4639.65717798],0,562.0735478508341,True,34.83692484739062,37.48568794837836,0.026676848011355763
TIROS 5,309,"[6937.457022958638, 7210.181041935603]",STARLINK-30583,58086,"[6938.155614775737, 6940.106898485102]",[-4890.43816887  1615.46132     4651.79338722],0,561.9842148899052,True,9.069762135444279,25.767127364881652,0.038809137931413835
TIROS 5,309,"[6937.457022958638, 7210.181041935603]",STARLINK-30591,58088,"[6938.110543724465, 6940.143707972339]",[-4890.01652801  1615.79208345  4652.11820521],0,561.981838779513,True,9.069761187329089,25.767127364881652,0.038809137931413835
TIROS 5,309,"[6937.457022958638, 7210.181041935603]",STARLINK-30615,58092,"[6938.058691033072, 6940.184837941711]",[-4888.8895815   1616.67592204  4652.98603646],0,561.9754942254149,True,9.069758653672645,65.58282151114825,0.015247895362812541
TIROS 5,309,"[6937.457022958638, 7210.181041935603]",STARLINK-30908,58424,"[6938.378177654212, 6939.886745051309]",[-4828.8883544   1663.28960447  4698.50583182],0,561.6506119655751,True,2.0796060538714456,25.767127364881652,0.038809137931413835
SECOR 3,1208,"[7269.030754327415, 7299.459960884279]",COSMOS 1176 FUEL CORE,11971,"[7261.625095558383, 7300.961554617838]",[ 1719.98252496 -4628.015224   -5337.56311016],0,892.7944915398748,True,34.19999864931664,71.61006867507604,0.01396451670137905
OPS 4988 (GREB 6),1271,"[7267.139661282885, 7297.4237580006]",OPS 1509 (TRANSIT 10),1864,"[7263.374542013339, 7423.661509966622]",[ 1310.44418987 -2691.96557516 -6632.23747787],0,898.5735614789428,True,49.000865943214954,51.6099833647256,0.01937609615048782
OPS 8464 (TRANSIT 5B-7),1514,"[7448.67097712085, 7556.082504922054]",YAOGAN 16A,39011,"[7179.991561218328, 7752.56397754096]",[ 2316.1061298   2707.16706921 -6618.83876111],0,1138.6527197359646,True,1.5106807966840599,72.15602142272796,0.013858857241330886
COSMOS 80,1570,"[7751.65999945469, 7909.983554137958]",COSMOS 2115,21029,"[7781.448682547842, 7786.452205893387]",[-2025.03307603 -4912.69165642 -5690.83153708],0,1407.8030109154606,True,43.15251109232292,79.42026503438815,0.012591244810968717
