Satellite 1,NORAD ID 1,Altitude Range [km],Satellite 2,NORAD ID 2,Altitude Range [km],"Conjunction Node Position [eci, km]",Collision Point A or B,Conjunction Point Altitude [km],Will they Collide?,Time Until Collision [days],Synodic Period [days],Collision Frequency [1/days]
OPS 7684,3605,"[7751.215281396076, 7840.421270765613]",COSMOS 2216,22187,"[7782.937782253585, 7792.767609926592]",[1135.55696217 1623.59576174 7528.08553833],0,1406.310615878103,True,27.665572252324075,51.693673757218875,0.0193447268750241
COSMOS 272,3818,"[7554.615175479709, 7582.509869512621]",ONEWEB-0199,48234,"[7579.7963713819645, 7582.29205113631]",[ 1426.60148255  1578.7214466  -7277.52276275],0,1204.0718310944349,True,24.312701354311177,30.71654531082369,0.03255574446543071
OPS 0054 (DMSP 5A F1),4331,"[7112.615731583817, 7195.645138587333]",STARLETTE,7646,"[7183.633492030448, 7485.389973744912]",[-3848.52703775 -5504.42530173  2558.3525798 ],0,809.006117067368,True,5.746021265075026,55.13266754559865,0.01813806667658387
COSMOS 417,5216,"[7719.133087997984, 7866.8272063431905]",COSMOS 1562,15001,"[7828.651909554988, 7852.694549946696]",[ 2693.8784737   6636.75605584 -3160.48737309],0,1450.796044243918,True,27.98345769775892,78.29058547427594,0.012772927855145132
COSMOS 566,6677,"[7808.414426773905, 7858.402539668734]",COSMOS 736,7825,"[7845.08111117357, 7862.063676117589]",[-5889.84075332 -1022.73814328 -5082.26587984],0,1468.2407555392592,True,13.99529725942006,62.21009436121867,0.01607456169723145
OPS 4547,7244,"[7143.408700670972, 7179.798240225012]",IRIDIUM 120,42805,"[7151.0727000504885, 7154.471697399322]",[ 1475.77358492  2100.98637376 -6677.73796801],0,776.1788852599839,True,23.739454786779998,37.696966853481726,0.026527333190671257
NOAA 6,11416,"[7144.561915141037, 7157.96481293792]",OSCAR 18 (WEBERSAT),20441,"[7147.899446477675, 7162.435885107499]",[ 1109.03555765    78.53487017 -7060.98875025],0,769.8480115390166,True,31.700948310982866,69.65806400216478,0.014355839690992888
COSMOS 1174,11765,"[6746.82299853344, 7453.20330710755]",STARLINK-2481,48138,"[6924.702421668526, 6926.514160797513]",[ 6023.90207724  2548.88668508 -2277.24294388],0,547.904798535752,True,14.576897250857574,23.567421945091574,0.04243145484176608
COSMOS 1241,12149,"[7364.966202096235, 7371.647782877022]",METEOR 3M,27001,"[7368.550809459612, 7388.857002609018]",[ 1192.41530784  6200.99958523 -3803.23970901],0,993.3541928695304,True,6.276267356072951,68.99200851030395,0.014494432349373481
COSMOS 1506,14450,"[7320.967645490074, 7382.7128108302995]",POPACS 3,39270,"[6694.306940716722, 7574.306555776761]",[-5227.06666305 -1310.16684302  5045.72901428],0,1004.1488480322341,True,3.8736890988885744,15.756184794452935,0.06346714087486816
USA 3,15071,"[6928.0510730709475, 6938.203944995175]",STARLINK-6287,56404,"[6938.168890230352, 6940.0965813043495]",[  261.38027213  5157.07682301 -4633.95879709],0,559.9704608403263,True,45.989259965787376,51.26788491435334,0.019505388249789736
USA 3,15071,"[6928.0510730709475, 6938.203944995175]",STARLINK-5356,56418,"[6938.126193217839, 6940.123273316073]",[  275.15345259  5067.18934038 -4731.32833288],0,559.9884692659507,True,43.72862290438818,51.3343802255263,0.019480122202834047
USA 3,15071,"[6928.0510730709475, 6938.203944995175]",STARLINK-6307,56529,"[6938.0760861546905, 6940.093972081158]",[  235.90612147  5316.76113408 -4451.20328338],0,559.9327117383455,True,43.063093498750995,51.66685678139111,0.019354767491104097
COSMOS 1617,15469,"[7787.457730934437, 7788.527801140491]",COSMOS 2253,22688,"[7782.891962763031, 7800.928676771228]",[ 2140.12156516 -1940.61309455  7232.62466086],0,1410.120762893599,True,66.48515146405968,79.16542554605898,0.012631776979689108
COSMOS 1694,16142,"[7773.502611421385, 7792.973159315423]",GLOBALSTAR M073,37193,"[7791.561210346484, 7792.673924735129]",[-3642.24524462  4086.1719145  -5546.1358753 ],0,1414.3192548704737,True,21.40176931889201,46.26936763695573,0.0216125711474235
COSMOS 1703,16262,"[6850.820977899011, 6865.067671439078]",JILIN-01 GAOFEN 3I,46461,"[6841.586508073323, 6853.288779006131]",[-499.66622865 -746.23519353 6791.77839831],0,472.7598110697936,True,18.59763998221195,56.84705234926129,0.017591061606081582
COSMOS 1797,17141,"[7819.206122648266, 7848.115464440762]",GLOBALSTAR M066,32265,"[7827.229018775623, 7829.228348381409]",[-4835.48731855   177.78841513  6153.24562059],0,1449.7604185724877,True,36.632003699189376,76.74812467324864,0.013029634329925986
OKEAN 2,20510,"[6911.366076760244, 6923.1295483903095]",AEROCUBE 8C,41853,"[6905.193217521895, 6915.990326106177]",[ -660.54192178  1955.38242864 -6599.61296971],0,536.6824063645763,True,23.264393902920027,45.85675698553004,0.02180703708104668
USA 61,20691,"[6761.407363664582, 8107.63891884607]",STARLINK-3350,51105,"[6916.985424397533, 6919.289164116521]",[-1993.12384168 -3634.88241838  5537.23738425],0,538.9368533897377,True,66.03117736703754,73.17295137887884,0.01366625209392124
OKEAN 3,21397,"[6932.931297873229, 6954.29958002505]",STARLINK-5897,55931,"[6946.2268657547365, 6950.0497314466265]",[  765.10246482 -2258.07967465  6528.36881072],0,571.9640731842919,True,3.9522084594146416,66.64625210962534,0.01500459468231036
ORBCOMM FM 2,23546,"[6991.56038695644, 7001.8483410532735]",YAOGAN 10,36834,"[6993.19864614722, 6995.43263056211]",[ 1466.62781241 -1902.74450707 -6569.84411023],0,617.1675274732252,True,8.302888357892527,67.4120488978028,0.014834143396472162
IRIDIUM 45,25104,"[6816.3396015780645, 7015.940790869116]",STARLINK-31998,60033,"[6824.684107561621, 6826.738646686135]",[ 5876.04724596  -242.01632575 -3466.08602148],0,448.30097649938216,True,6.4086591757885385,43.19570032123468,0.023150452303430012
SORCE,27651,"[6942.630622633596, 6973.779723912269]",STARLINK-5893,55952,"[6946.193317395033, 6950.073154994125]",[-4453.35590094  2952.80018982 -4439.30315336],0,568.7198596782355,True,35.28232252855532,61.44104568459155,0.016275764659565102
XSS 10,27664,"[6880.343911508563, 7104.116250795675]",STARLINK-2067,47674,"[6924.531132700633, 6926.536767332556]",[-2256.15952991 -5301.56832061 -3844.3971165 ],0,548.353574006821,True,26.93705749843331,65.12493175078849,0.015355102464086539
AURA,28376,"[7069.417827755108, 7072.875618502719]",TAURUS-1,44530,"[7067.397864857834, 7082.713945881778]",[-5970.563923   -3757.2972141    487.31774515],0,693.1001264506394,True,3.255183410032252,68.49076461096956,0.014600508633244821
SHIJIAN 6 01B (SJ-6 01B),28414,"[6937.3828282139375, 6948.869536169756]",STARLINK-3080,49161,"[6946.207791083741, 6950.065396520619]",[  258.63923855  2489.6687351  -6479.60104587],0,568.1263393702602,True,56.88951878379111,61.64126763394681,0.016222898041916393
